feature_name,variance,target_linear_correlation,feature_importances
AG_V_SELF_TEST_GAIN_5_1_8 of 1103959_69_1133529_cp1p5,0.000806084,0.101234114,0.001180509
AC_V_AFE_CLP_5_8_8_I0_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000585627,0.058062201,0.00117763
Zb_V_OBVOH_H_RAW of 1103959_69_JPP,0.000219457,0.050626364,0.001176419
AG_V_SELF_TEST_GAIN_11_2_1_VSS of 1103959_69_1133529_cp1p5,0.000152788,0.024263619,0.001176014
AC_V_AFE_CRP_5_8_8_I0_VSS of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000130115,0.087371668,0.001172699
HH_CONT_SH_OUT of 1103959_69_1133592_QPP,0.000392531,0.010030459,0.001166971
IO_ISUPFM of 1103959_69_1133592_QPP,0.584236047,0.089085043,0.001166848
Gb_I_GBIAS_0_HV of 1103959_69_JPP,0.00452293,0.012722929,0.001166422
AC_V_AFE_CRP_5_8_8_VSS of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000106671,0.088834746,0.001158831
AC_V_AFE_CN_5_8_8_I0 YPP,0.004118149,0.005656779,0.001156504
ZB_V_V0RA_N3MA_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000555025,0.00343361,0.001154167
Zb_I_OBSHORTL of 1103959_69_JPP,0.158393553,0.100394097,0.001153394
Sb_I_SCALBIAS_0_HV of 1103959_69_1133529_cp1_cp1p5_YPP,4.090055229,0.089656487,0.001149506
Ro_T_REFOSC_LV of 1103959_69_1133529_cp1_cp1p5_YPP,806.8023712,0.01792328,0.00114772
OV_V_OBVOFF of 1103959_69_1133529_cp1p5,0.00094511,0.002370216,0.001143299
AC_V_AFE_CRN_5_8_8_I0 of 1103959_69_1133592_QPP,0.000948433,0.001354105,0.00114321
Zb_V_ILOUT_VSS of 1103959_69_1133529_cp1,1.30E-05,0.058792883,0.001141728
AC_V_AFE_CRN_5_8_8_I0_RAW of 1103959_69_1133529_cp1p5,0.007067797,0.032854653,0.001136684
HH_CONT_SH_VINT of 1103959_69_1133529_cp1p5,0.013406833,0.038097855,0.0011305
HH_CONT_SH_PTEN of 1103959_69_1133592_QPP,2.39E-05,0.076160143,0.001127808
Zb_V_OBVOH_L of 1103959_69_1133529_cp1,0.00077546,0.05647842,0.001124143
AG_V_SELF_TEST_GAIN_6_1_4 of 1103959_69_1133529_cp1_cp1p5_YPP,0.000353788,0.093422204,0.001123605
AG_V_SELF_TEST_GAIN_5_8_1_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.001028829,0.093138332,0.001123242
