feature_name,is_selected,importance_column,importance_score,feature_value_by_importance_column
AC_V_AFE_CLP_5_8_8_P_F of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,False,FeatureFilter_variance,0.0,1.0002765486725655
AC_V_AFE_CLP_5_8_8_P_F of 1103959_69_1133592_RPP,True,FeatureFilter_variance,0.0,1.0002765486725664
AC_V_AFE_CLP_5_8_8_VSS of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,True,FeatureFilter_variance,0.0077873216941952705,1.0002765486725664
AC_V_AFE_CLP_5_8_8_VSS of 1103959_69_1133592_RPP,True,FeatureFilter_variance,0.0,1.0002765486725664
AC_V_AFE_CN_5_8_8_I0 JPP,True,FeatureFilter_variance,0.0,1.0002765486725662
AC_V_AFE_CN_5_8_8_I0 QPP,True,FeatureFilter_variance,0.0,1.0002765486725664
AC_V_AFE_CN_5_8_8_I0 RPP,True,FeatureFilter_variance,0.0,1.0002765486725664
AC_V_AFE_CN_5_8_8_I0 YPP,True,FeatureFilter_variance,0.0012369013857096434,1.0002765486725664
AC_V_AFE_CN_5_8_8_I0 cp1,True,FeatureFilter_variance,0.0,1.0002765486725667
AC_V_AFE_CN_5_8_8_I0 cp1p5,True,FeatureFilter_variance,0.0,1.0002765486725664
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133529_cp1,True,FeatureFilter_variance,0.0002601215965114534,1.0002765486725664
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133529_cp1_cp1p5_YPP,True,FeatureFilter_variance,0.00562264071777463,1.0002765486725664
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,True,FeatureFilter_variance,0.0048361774533987045,1.0002765486725664
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133529_cp1p5,True,FeatureFilter_variance,0.0002429850574117154,1.0002765486725664
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133592_QPP,True,FeatureFilter_variance,0.00038298210711218417,1.0002765486725664
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_JPP,True,FeatureFilter_variance,0.005399344488978386,1.0002765486725664
AC_V_AFE_CN_FG_SA_P_F of 1103959_69_1133529_cp1,True,FeatureFilter_variance,0.0,1.0002765486725664
AC_V_AFE_CN_FG_SA_P_F of 1103959_69_1133529_cp1_cp1p5_YPP,True,FeatureFilter_variance,0.0,1.0002765486725664
